iter	RMSE
0	3.650302125
1	3.616742551
2	3.583582024
3	3.550777744
4	3.518196836
5	3.486022815
6	3.454171326
7	3.422659667
8	3.391585305
9	3.360831965
10	3.330346245
11	3.300323523
12	3.270511837
13	3.24100285
14	3.211901194
15	3.183079697
16	3.154697761
17	3.126360673
18	3.098345166
19	3.07083215
20	3.043538722
21	3.01663016
22	2.98991158
23	2.963608487
24	2.937650386
25	2.911822564
26	2.886321004
27	2.861151419
28	2.83615994
29	2.811392545
30	2.787083688
31	2.763046339
32	2.739276064
33	2.715673796
34	2.692368916
35	2.669443033
36	2.646630467
37	2.62419065
38	2.60189911
39	2.579954856
40	2.558154438
41	2.536522085
42	2.515361524
43	2.494398989
44	2.473488733
45	2.452785694
46	2.43235927
47	2.41222578
48	2.392400506
49	2.372896268
50	2.353540874
51	2.334455448
52	2.315429354
53	2.296575601
54	2.278023659
55	2.259814383
56	2.241818972
57	2.223956832
58	2.206407699
59	2.189014385
60	2.171823987
61	2.154749814
62	2.138090128
63	2.121374031
64	2.104896285
65	2.088807119
66	2.072761191
67	2.056824107
68	2.04122128
69	2.025781992
70	2.010507421
71	1.995524162
72	1.980575196
73	1.966018731
74	1.951489262
75	1.937135841
76	1.922944616
77	1.909111521
78	1.895249786
79	1.881677992
80	1.868339603
81	1.855081584
82	1.842119713
83	1.829115103
84	1.816155623
85	1.803421431
86	1.791056714
87	1.778731933
88	1.766347356
89	1.754211151
90	1.742245914
91	1.730534278
92	1.71878594
93	1.707406577
94	1.696156817
95	1.685126775
96	1.67430104
97	1.663099477
98	1.6524717
99	1.642018396
100	1.631614041
101	1.621503647
102	1.611457863
103	1.601585008
104	1.591800644
105	1.582156526
106	1.57272633
107	1.563404286
108	1.554143512
109	1.544788078
110	1.535779436
111	1.526986232
112	1.518050415
113	1.509343009
114	1.500734227
115	1.492368065
116	1.484125723
117	1.475952843
118	1.467893506
119	1.459869513
120	1.451918001
121	1.44418063
122	1.436725707
123	1.429264658
124	1.421945959
125	1.414627529
126	1.40733688
127	1.400252235
128	1.393283606
129	1.386012211
130	1.378973319
131	1.371974019
132	1.36532525
133	1.358830703
134	1.35228944
135	1.345797424
136	1.339380666
137	1.333155619
138	1.326998252
139	1.32093135
140	1.315192466
141	1.309512532
142	1.303783781
143	1.298249183
144	1.292654893
145	1.287091229
146	1.281470316
147	1.276137268
148	1.270904858
149	1.265666034
150	1.260650088
151	1.255680591
152	1.250733949
153	1.245767882
154	1.240983438
155	1.236234311
156	1.231623579
157	1.22705152
158	1.222439322
159	1.217745702
160	1.213375044
161	1.20918922
162	1.204708478
163	1.200374815
164	1.196192742
165	1.192266878
166	1.188105885
167	1.184281872
168	1.180485019
169	1.176849619
170	1.173256393
171	1.169670165
172	1.166167723
173	1.162526684
174	1.158793847
175	1.155053983
176	1.151515439
177	1.148304027
178	1.144913579
179	1.141363215
180	1.138096053
181	1.134959922
182	1.131826907
183	1.128843675
184	1.125684775
185	1.122658566
186	1.11960682
187	1.116788303
188	1.113892139
189	1.111306026
190	1.108583095
191	1.105797842
192	1.103093831
193	1.100569622
194	1.097922276
195	1.095413027
196	1.092751772
197	1.090235901
198	1.087896452
199	1.085545972
200	1.083229998
201	1.080878349
202	1.078359265
203	1.076054398
204	1.073827989
205	1.071715125
206	1.069562534
207	1.067405587
208	1.065442861
209	1.0633487
210	1.061316668
211	1.059446498
212	1.057486418
213	1.055615735
214	1.053762969
215	1.052038635
216	1.050226119
217	1.048341486
218	1.046505313
219	1.04489602
220	1.043294254
221	1.041801661
222	1.040194371
223	1.038457233
224	1.036760958
225	1.035094028
226	1.033528965
227	1.031986647
228	1.030565774
229	1.029006891
230	1.02753343
231	1.02603361
232	1.024656956
233	1.023190925
234	1.021690182
235	1.020124549
236	1.018846009
237	1.017544589
238	1.016499229
239	1.015088168
240	1.013863982
241	1.012735188
242	1.011349387
243	1.010051197
244	1.008694324
245	1.007637162
246	1.006377279
247	1.005245376
248	1.004084932
249	1.003033797
250	1.001956272
251	1.000938023
252	0.9998960605
253	0.9988684907
254	0.9977728587
255	0.9968212321
256	0.9958938152
257	0.9948855573
258	0.9937556673
259	0.9929183973
260	0.9919736902
261	0.9910524525
262	0.9900917046
263	0.9890643902
264	0.9882557299
265	0.9873282066
266	0.9865675207
267	0.9856958353
268	0.9848271731
269	0.9840623615
270	0.9832883001
271	0.9825763542
272	0.981727515
273	0.980939814
274	0.9802880534
275	0.9796036479
276	0.9788875027
277	0.9780195671
278	0.9773026493
279	0.9765097297
280	0.9758362931
281	0.9750905977
282	0.9744983502
283	0.9738672632
284	0.9732127263
285	0.9724991879
286	0.9719511693
287	0.9714017722
288	0.9707963489
289	0.9701680161
290	0.9696181138
291	0.9690483284
292	0.968324661
293	0.9678156372
294	0.9672562294
295	0.9666516223
296	0.9661586221
297	0.9656112554
298	0.9650943821
299	0.9644380822
300	0.9639767493
301	0.9633928995
302	0.9628838092
303	0.9624290419
304	0.9618573748
305	0.9614182468
306	0.9608446908
307	0.9603971373
308	0.959882309
309	0.9594628361
310	0.9589596069
311	0.9585887771
312	0.958205311
313	0.9577525449
314	0.9573433587
315	0.9567576842
316	0.956353426
317	0.9559965077
318	0.9555096838
319	0.9551341735
320	0.9546715082
321	0.9540910487
322	0.953769516
323	0.9534679981
324	0.9531267212
325	0.9527475529
326	0.9523400825
327	0.9519169848
328	0.9515678055
329	0.9511997428
330	0.9508551951
331	0.9504367304
332	0.9501174183
333	0.9498073782
334	0.9493665916
335	0.9490243291
336	0.9487157366
337	0.9484022374
338	0.9480196414
339	0.9476332436
340	0.947348138
341	0.9470344412
342	0.9467639322
343	0.9464722354
344	0.946157145
345	0.9458787957
346	0.9456409025
347	0.9453762736
348	0.9450894397
349	0.9448431148
350	0.9444524373
351	0.9442005907
352	0.9438609563
353	0.9436347232
354	0.9434155395
355	0.9431346651
356	0.9429362989
357	0.9425904742
358	0.9423419577
359	0.9421039159
360	0.9418050296
361	0.9415290998
362	0.9412864343
363	0.9410666922
364	0.94085015
365	0.9406448701
366	0.9403601617
367	0.9401537133
368	0.9399514645
369	0.9397519632
370	0.939572578
371	0.9393959994
372	0.9391950595
373	0.9389994697
374	0.9387597944
375	0.9385564677
376	0.9382154895
377	0.9380166451
378	0.9376419966
379	0.937333711
380	0.9371543848
381	0.9369211809
382	0.9366042214
383	0.9363788385
384	0.9362323823
385	0.9360490505
386	0.9357670758
387	0.935600093
388	0.935415277
389	0.9352000021
390	0.934901976
391	0.9346635974
392	0.9344555029
393	0.9343047719
394	0.9339834968
395	0.9338200863
396	0.9335431904
397	0.933290049
398	0.9330874744
399	0.9328307292
400	0.9326040354
401	0.9323369232
402	0.9320723492
403	0.93185336
404	0.9316109209
405	0.9314490602
406	0.9312507042
407	0.9310012391
408	0.9307575843
409	0.9305498009
410	0.930312557
411	0.9300795311
412	0.9298434745
413	0.9296078636
414	0.9293833938
415	0.9291937095
416	0.9290550953
417	0.928843564
418	0.9286908637
419	0.9284793047
420	0.9282856094
421	0.9280782618
422	0.9278838032
423	0.9276692175
424	0.9274248315
425	0.9272280692
426	0.9270699768
427	0.9269157273
428	0.9267472793
429	0.9265554204
430	0.9263686632
431	0.9262196227
432	0.9259412229
433	0.925799299
434	0.9256154999
435	0.9254454395
436	0.925265155
437	0.9250955598
438	0.9248265839
439	0.9246505716
440	0.9245313918
441	0.92440998
442	0.9242400906
443	0.924008513
444	0.9238978003
445	0.9236608442
446	0.923395198
447	0.9231748944
448	0.922998838
449	0.9228900246
450	0.922721628
451	0.9224943011
452	0.922337774
453	0.9221201005
454	0.9219188034
455	0.92180866
456	0.9215737304
457	0.9214280605
458	0.9212273787
459	0.9211137336
460	0.9209235405
461	0.920716974
462	0.9205318696
463	0.9204201187
464	0.9202957258
465	0.9201071299
466	0.9199174515
467	0.9197458501
468	0.9195680182
469	0.9194574628
470	0.9193160861
471	0.9190930965
472	0.918981003
473	0.9187341932
474	0.9185478174
475	0.9184625916
476	0.9183275271
477	0.9182053295
478	0.9180263042
479	0.9178766435
480	0.9177798613
481	0.9176165709
482	0.9174583116
483	0.9171906656
484	0.9170218897
485	0.9168255923
486	0.9166633153
487	0.916514086
488	0.9164238572
489	0.9162568074
490	0.9161509184
491	0.9159843242
492	0.915763613
493	0.9156427173
494	0.9155450127
495	0.9154434153
496	0.9153068912
497	0.9151315913
498	0.9150360448
499	0.9148643784
