iter	Passed	Remaining
0	72	36151
1	82	20429
2	90	15039
3	100	12405
4	108	10761
5	117	9661
6	126	8886
7	135	8312
8	143	7831
9	153	7504
10	161	7176
11	170	6932
12	178	6693
13	188	6529
14	196	6365
15	205	6230
16	214	6092
17	223	5988
18	232	5874
19	240	5768
20	247	5656
21	256	5581
22	268	5576
23	284	5634
24	299	5684
25	313	5719
26	324	5691
27	335	5657
28	346	5623
29	354	5560
30	364	5509
31	372	5446
32	381	5396
33	390	5347
34	399	5301
35	407	5257
36	416	5211
37	424	5161
38	433	5121
39	441	5081
40	450	5043
41	459	5009
42	469	4991
43	480	4977
44	492	4982
45	504	4980
46	514	4963
47	525	4947
48	534	4916
49	542	4881
50	550	4848
51	559	4823
52	568	4797
53	578	4775
54	587	4749
55	597	4733
56	606	4713
57	618	4712
58	628	4697
59	641	4703
60	654	4707
61	665	4699
62	680	4722
63	696	4742
64	710	4755
65	724	4766
66	737	4764
67	752	4777
68	766	4790
69	780	4797
70	794	4798
71	807	4800
72	818	4788
73	827	4764
74	837	4743
75	847	4726
76	859	4722
77	873	4726
78	886	4723
79	900	4728
80	915	4734
81	927	4726
82	937	4708
83	947	4692
84	960	4691
85	976	4699
86	988	4690
87	1003	4699
88	1017	4697
89	1027	4682
90	1041	4681
91	1054	4676
92	1067	4670
93	1079	4664
94	1095	4668
95	1108	4663
96	1121	4660
97	1135	4659
98	1149	4657
99	1164	4656
100	1176	4648
101	1187	4635
102	1198	4617
103	1212	4615
104	1227	4617
105	1242	4618
106	1254	4607
107	1268	4602
108	1282	4600
109	1298	4603
110	1314	4604
111	1329	4606
112	1342	4596
113	1356	4592
114	1369	4584
115	1384	4584
116	1399	4582
117	1409	4562
118	1418	4540
119	1426	4518
120	1435	4496
121	1444	4476
122	1454	4457
123	1463	4436
124	1471	4413
125	1483	4404
126	1494	4390
127	1510	4390
128	1525	4387
129	1540	4385
130	1555	4380
131	1568	4372
132	1581	4365
133	1595	4358
134	1611	4356
135	1622	4343
136	1635	4333
137	1644	4315
138	1654	4296
139	1664	4278
140	1675	4265
141	1686	4252
142	1701	4248
143	1716	4243
144	1730	4235
145	1745	4232
146	1758	4222
147	1773	4218
148	1787	4211
149	1801	4202
150	1812	4190
151	1823	4174
152	1834	4161
153	1845	4146
154	1854	4127
155	1863	4108
156	1872	4090
157	1880	4071
158	1889	4052
159	1898	4034
160	1907	4015
161	1917	4000
162	1929	3988
163	1940	3976
164	1951	3962
165	1960	3944
166	1968	3926
167	1977	3908
168	1985	3889
169	1994	3872
170	2003	3854
171	2011	3836
172	2020	3819
173	2029	3802
174	2039	3787
175	2048	3771
176	2057	3754
177	2066	3739
178	2075	3722
179	2087	3710
180	2098	3698
181	2109	3686
182	2124	3679
183	2137	3670
184	2153	3666
185	2169	3661
186	2183	3655
187	2196	3644
188	2207	3633
189	2222	3626
190	2235	3617
191	2249	3608
192	2262	3598
193	2274	3588
194	2288	3578
195	2301	3569
196	2315	3561
197	2329	3552
198	2343	3545
199	2354	3531
200	2365	3519
201	2378	3509
202	2391	3498
203	2403	3487
204	2417	3479
205	2432	3471
206	2445	3462
207	2459	3453
208	2468	3437
209	2481	3426
210	2494	3416
211	2505	3404
212	2517	3392
213	2532	3384
214	2544	3372
215	2558	3364
216	2572	3354
217	2585	3344
218	2595	3329
219	2606	3317
220	2618	3306
221	2631	3294
222	2645	3286
223	2658	3276
224	2672	3266
225	2687	3257
226	2699	3246
227	2713	3237
228	2726	3226
